identify	message	emotion	category
2018-Es-06698	perdí una remera mi papa perdió las dos ojotas y mi hermana acaba de perder un buzo bien	tristeza	1
2018-Es-02134	Tengo que admitir que me estoy cagando de miedo. 	tristeza	1
2018-Es-04770	Mis sueños me dan miedo 😥	tristeza	1
2018-Es-06241	Se piensan porque son chorros o amigos de chorros le vas a tener miedo. De tal palo tal astilla. Todos negros cabeza !!!	tristeza	0
2018-Es-03679	@Juanjaramilloe @SJaramishanos Tienes razón la depresión es muy delicado ya e pasado por eso y es muy fatal 😭😭😭😭	tristeza	3
2018-Es-02195	@lopezm_maria @AntonioJSMazuec @Rosariooo18 @gema_escobedo2 En serio te como eres increíble quiero verte ya	tristeza	0
2018-Es-00684	Ya. Ese fue mi berrinche del mes	tristeza	0
2018-Es-06284	@ELTIEMPO Tras de matón ladron? Bueno algo así dice el dicho	tristeza	0
2018-Es-00001	cerra la jeta infeliz	tristeza	1
2018-Es-00330	En estos partidos es cuando mi corazón se divide terrible, me siento tan santandereana como rola.	tristeza	2
2018-Es-00698	Como estoy un poco aburrida... Cada fav/mg es un dato de mi.	tristeza	0
2018-Es-02767	Soy bien pinche infeliz.	tristeza	3
2018-Es-04736	El necio al punto da a conocer su ira;Mas el que no hace caso de la injuria es prudente.#mision	tristeza	0
2018-Es-02135	como si estuvieran comparando una ruptura de pareja, con algo complejo como la depresión	tristeza	1
2018-Es-02448	No quería creer todavía me cuesta entender porque! La depresión es algo muy difícil de superar si no se trata a tiempo	tristeza	3
2018-Es-06707	xD  Al parecer no puedo tomar captura ... Que pena, que suerte la mia xD ... !!!!	tristeza	1
2018-Es-05132	Tuve gripe por dos días, mi mamá dice que sólo era llanto contenido: le creo. 😢	tristeza	1
2018-Es-04450	Tan enojado iba a estar Dio?	tristeza	0
2018-Es-05325	Apagaste todos mis faros y ahora a oscuras no le veo ningún sentido a seguir. Mejor me quedo aquí en la oscuridad a esperarte.	tristeza	2
2018-Es-00773	La peor forma de extrañar a alguien es estar a su lado y saber que nunca lo podrás tener. #tristeza	tristeza	3
2018-Es-00350	Estoy cansada de gente falsa en mi vida!!!	tristeza	2
2018-Es-04734	Nunca hables mal de tu ex, si tú fuiste infeliz deja que otros también lo sean..	tristeza	1
2018-Es-05228	Me falt 2 cap de Narcos. No te termines nuncaa 😢 Agente peña te voy a amar de por vida ❤	tristeza	0
2018-Es-05035	Tengo mucha depresión en mi corazón😪😪	tristeza	3
2018-Es-01601	@Ivandagu @cmbustamante Es una acusación bastante grave, de la cual no tienes ninguna prueba	tristeza	1
2018-Es-01046	No me enojo si alguien me da las buenas noches,ahr	tristeza	1
2018-Es-05945	Me da tanta pena que los niños del sename sean tan vulnerables, tan desprotegidos y sin alguien que se haga cargo de verdad de ellos	tristeza	3
2018-Es-02510	@ElAgussMoree Para no se ni que escribi , esto de ponerme ansiosa no es lo mio	tristeza	1
2018-Es-04286	@JudgingLu ¡Buenos días! Yo tengo un social 😥	tristeza	0
2018-Es-03602	Trate por mi misma pero no pude me venció el cansancio que tengan buenas noches yo a ver si puedo....mañana es otro dia...	tristeza	1
2018-Es-03546	@__sugu Si esos temblores andan con todo 	tristeza	0
2018-Es-04744	Con quién pelea Juana?	tristeza	0
2018-Es-02747	#5HEsTrending Necesito verlas por favor 😭	tristeza	1
2018-Es-04449	No te olvides: el #ejercicio y la #actividadfísica mejoran el #ánimo, estimula la agilidad mental y alivia la #depresión. #CuidaTuVida	tristeza	0
2018-Es-01620	¡LAMENTABLE! Andrés Uzcátegui murió al explotarle mortero en el pechohttp://www.lechuguinos.com/andres-uzcategui-murio-mortero/	tristeza	1
2018-Es-06105	Cuando me enojo pq me duelen muchos los ovarios le grito a mi vieja q pq mierda no me tuvo con pito jajaja	tristeza	0
2018-Es-04812	Yo no hablo de la depresión tengo suficiente con ver mi estado de cuentas y los planteamientos de Arias, ya vengo, voy a grabar los 📼	tristeza	1
2018-Es-01720	Ya siento tus pasos acercarse, Señor. Tiempos de llanto y también de regocijo. Cúbreme con la justicia de Cristo. ¡VEN, SEÑOR JESÚS!	tristeza	1
2018-Es-01451	Pa qué me enojo con gente que se le hace trágica la numeración de butacas...	tristeza	0
2018-Es-06061	@javiercedeo @florciampoli Imagínate eso! Yo solo lo conozco por esconderse en cielo rasos, ahora por incoherente...de 2-0	tristeza	0
2018-Es-00695	Como pueden ser tan idiotas? Como se pueden burlar así de algo tan grave? Xq mierda se muere gente buena y no se mueren estos hdp sin alma.	tristeza	3
2018-Es-03682	No quería irme 🙁	tristeza	2
2018-Es-00781	@salomecuerva Sorprenderme jajaja na vos sabes a la que no superó 	tristeza	0
2018-Es-04486	Desculpa por tanta tristeza	tristeza	3
2018-Es-05878	Hace una semana que no como asado. #Depresion	tristeza	2
2018-Es-05571	Ojala y no sea nada grave	tristeza	2
2018-Es-05160	hice mi hermana fan de pll 	tristeza	0
2018-Es-01882	13 horas trabajando verg que cansancio	tristeza	0
2018-Es-06220	@enriquejesusgc Si abandonó Twitter ya saben por qué es 	tristeza	0
2018-Es-03707	@violetlightstar @sarcasmshouts @arrowsftcry @delusivcbes @gcldndark Me perdí la pelea del año.	tristeza	0
2018-Es-01623	x dios q aburrida estoy q alguien me charle un rato	tristeza	1
2018-Es-05739	@poucito12 El que nunca me saluda 😟	tristeza	1
2018-Es-06820	@Juliococo Es lamentable pero así es que se acabará el chavismo, esto si es pueblo	tristeza	1
2018-Es-06121	[ Estoy súper deprimida porque el sábado iba a pasarme por la comic con y ya no porque no tengo quién me acompañe. Más fracasos.	tristeza	3
2018-Es-06237	Era la noche perfecta, algo tenía que pasar 😥	tristeza	1
2018-Es-02860	@kjol_huellitas Ahora es aburrida pero con música 🙌	tristeza	1
2018-Es-05299	Quisiera tener todas las jerseys de mis equipos y jugadores favoritos 🙁	tristeza	0
2018-Es-06611	ok, algo le pasa a mi twitter, sale como si estuviera siguiendo solo a una persona... #asustado	tristeza	0
2018-Es-05498	Entonces: ¿para quién fue la sorpresa? Se pregunta @DeniseMaerker tras revelar que la @SCT_mx estaba avisada del problema en el #PasoExpres	tristeza	0
2018-Es-01025	@israelk_18 He visto el vídeo y se ve que la chica lo graba porque está hasta el chirri y que está indignada, la risa no sé dónde está	tristeza	0
2018-Es-05466	Necesitando masajes hasta en el alma y una espalda nueva COMO SIEMPRE 	tristeza	1
2018-Es-02829	¿Insultan por dm?  ¿En serio?	tristeza	0
2018-Es-02045	@Gerablu sentí nostalgia volver y encontrar nuestra conversaciones 😂	tristeza	2
2018-Es-04805	Necesito proyectos de diseño pagados en $$ 😭	tristeza	0
2018-Es-02205	Lo lamento tuve que irme estaba cansada de gritos de lo tóxico de mentiras y de tu ego. Si, si te extrañare, si te amo pero me amo mas a mi.	tristeza	3
2018-Es-01963	Loca se enojo conmigo pq segun ella lo acababa d conocer y ya le hablaba como si fuera de hace mucho PERO PARALE LOCA	tristeza	0
2018-Es-04136	entre mujeres borrachas y no le estabas acosando y no he visto a nadie indignado en modo 'va provocando'.	tristeza	0
2018-Es-06085	Que #triste es poner la alarma y ver las horas que te quedan para dormir 😔😔😔😔	tristeza	1
2018-Es-01650	Quiero hacer muchas intervenciones e instalaciones pero no tengo espacio/dinero 😭	tristeza	1
2018-Es-02973	@fantomastxiki Todavía sigue rabioso por haber perdido tantos millones con sus empresas de seguridad?	tristeza	1
2018-Es-05362	@white_comonnerd ¿A costa de Rami Malek? #Indignada El es muy lindo 😌	tristeza	0
2018-Es-04179	Ha sido la semana más difícil sin hablarle a mi mejor amiga 😢	tristeza	3
2018-Es-02180	Desesperado por encontrarte 🎶	tristeza	1
2018-Es-05389	¿Por qué está Peña en todos los pinches canales? 	tristeza	0
2018-Es-04065	Y si, me estoy sintiendo como el orto, y si lo voy a compartir acá porque estoy cansada de reprimir toda la mierda y no hablar con nadie	tristeza	3
2018-Es-06268	Que hermoso ver como salvaron a los gatitos de Patricio Sáenz #37 	tristeza	0
2018-Es-06346	¿Qué perro se perdió hoy?	tristeza	0
2018-Es-00896	@Melizzarp Lamentablemente estamos estancados porque precisamente no vemos el problemas desde la raiz. Buenas noches	tristeza	1
2018-Es-02668	Creo que esta fue la semana más aburrida de mi vida, me tendría que haber quedado en trenque lcdlg	tristeza	1
2018-Es-02052	Menos mal que nunca me dió vergüenza llorar en el bondi.	tristeza	1
2018-Es-02506	@jorgehdz80 Jajajaja son vacaciones amargado💁	tristeza	0
2018-Es-05827	Ya quiero que sea vierneeees 	tristeza	0
2018-Es-01705	Que aburrida la gente que quiere quedar bien com todo el mundo siempre	tristeza	1
2018-Es-01658	"Nada se olvida más despacio que una ofensa; y nada, más rápido que un favor" Martin Luther King BUENOS DÍAS FELIZ MIÉRCOLES	tristeza	0
2018-Es-03179	El intelecto de una alma oscura es peligroso y aterrador	tristeza	1
2018-Es-04218	Que incómoda me siento a veces	tristeza	1
2018-Es-00465	Una semana no es suficiente 😭	tristeza	1
2018-Es-06338	Que feo se siente perder a una persona muy cercana 😥	tristeza	3
2018-Es-04050	Me dijo eso y me quedé re pensativa😬	tristeza	1
2018-Es-04075	El tiempo pasa incluso aunque parezck imposible, incluso a pesar de que cada movimiento de la manecilla uel reloj duela.	tristeza	2
2018-Es-01679	Les trancamos toda la redoma de Petare y les prendimos la mecha durísimo hasta esta hora.. Petare se arrechó y perdió el miedo!!	tristeza	0
2018-Es-01611	Bueno amigo déjame tranquila me tienes cansada	tristeza	1
2018-Es-01932	Estoy aburrida y mi linda no se conecta :c	tristeza	0
2018-Es-02040	frank se enojo por una boludes y quiere que le pida perdón en la cara, ya, ya estoy yendo a hacer dedo, no, mejor voy corriendo esperame	tristeza	0
2018-Es-02391	@JuniorAlvia Desgraciado infeliz jajaj	tristeza	0
2018-Es-05563	Estas son las mejores horas para hacer el tonto jurao😂😂😂😂😂😂😂😂😂 estoy llorando de la risa😂😂😂😂😂	tristeza	0
2018-Es-00567	Que desagradable está negra bolita	tristeza	1
2018-Es-00271	@Sabanero_91 ganó el junior o perdió el América? Cómo fue?	tristeza	0
2018-Es-06385	@the_os_07 @globovision tiburón eres un enchufado mas y un laboratorio mejor ni te contesto no vale la pena	tristeza	0
2018-Es-04281	Que horrible sensación esa cuando algo realmente te duele o te molesta y te tenes que quedar ahí sonriendo y fingir  que todo esta bien	tristeza	2
2018-Es-04811	No sé si fue buena idea haberle pasado mi cuenta de Spotify a mi hermana 😥	tristeza	0
2018-Es-03618	¿Habeis visto un dia de furia?. Hoy estoy de ese pelo, solo que no tengo motivos para estarlo. Igual es la edad, yo que se.	tristeza	1
2018-Es-00935	Mucho a destacar en #DeathNote. Dos únicos apuntes: la última frase es magnífica, la #BSO incomprensible. #cine 	tristeza	0
2018-Es-02856	Estoy muy aburrido.	tristeza	0
2018-Es-05645	No sé por dónde volver a empezar 😥	tristeza	1
2018-Es-00498	@Mayanvillafuert No mms me dolió leerlo 😟	tristeza	2
2018-Es-02879	Lo que más me da tristeza es que es "aparente suicidio". Nunca sabes lo que otra persona sufre, nunca te lo imaginas.  #RIPChesterBennigton	tristeza	2
2018-Es-02141	Ptm, donde esta mi lunar??? 😥	tristeza	0
2018-Es-03833	Ya se va a ir 🙁	tristeza	1
2018-Es-06667	Mis pies estan super fríos 	tristeza	0
2018-Es-06029	Hoy encontré una librería atendida por un fantasma, un señor muy triste. Y es raro, porque pensé que los libros eran los tristes.	tristeza	1
2018-Es-03544	Se delatan solitos... Tranquilos que el que riendo las hace llorando las paga... Ahi vamos 👌	tristeza	2
2018-Es-05770	@ocwaca queríamos 🙁	tristeza	0
2018-Es-05056	@nohemidleon JAJAJAJAJ soy la persona menos amargada del 🌎	tristeza	0
2018-Es-04505	Sin chavos no somos nadie, lamentablemente.	tristeza	1
2018-Es-03507	Y-#PensarQue 🙏Ya No Estas Papito😪'#TeAmoProhibido' 👫Olvidarte Viejito'🙇‍♀️😿: me siento triste	tristeza	3
2018-Es-01378	Capaz soy yo la que incómoda acá o que?	tristeza	1
2018-Es-00345	Que mierda que por un abuso sexual, exceso de drogas y depresión te lleven a quitarte la vida.. ojalá ahora estés en paz #ChesterBennington	tristeza	3
2018-Es-04670	@HenryOuatx -Niega con la cabeza y deja escapar una risita nerviosa.-  Mejor no, cariño, esa, es una historia bastante retorcida	tristeza	0
2018-Es-06031	No voy a entrar a instagram hasta mañana, que depresión loco. Quiero estar ahí, con mis amigos	tristeza	3
2018-Es-02787	@Blueberry_TRA hermanito te extraño 	tristeza	3
2018-Es-01351	Mi hermana mayor esta pensando llevarme al extranjero el año que viene! No se si llorar o reír	tristeza	0
2018-Es-02549	@TejoMattioli Vale la pena para mechar con alguna otra serie. Está buena, para verla en la cena.	tristeza	0
2018-Es-03409	Asi o mas sospechoso 🤔😂✌️	tristeza	0
2018-Es-04482	Yo digo que deberían organizarnos una fiesta sorpresa a @Ing_Roger_Pa y a mi el sábado 22 de Julio en Tantima. Coff Coff @lachina_val 😂🎈🎁🎉🍻🍺	tristeza	0
2018-Es-01280	Para que me bloqueas hija de tu pu*a madre	tristeza	1
2018-Es-05903	¿Después de cuantas depresiones llega la depresión que te adelgaza?	tristeza	3
2018-Es-03432	La depresión es cabrona 😥	tristeza	3
2018-Es-05508	||MIS COMPAÑEROS DE CLASE TIENEN UN ESCRACHE MÍO. ESTOY LLORANDO.	tristeza	3
2018-Es-04481	La canción de la familia me da tanta nostalgia de mi cumpleaños 🔙🔙	tristeza	3
2018-Es-01854	si me hablan hasta que me duerma no me enojo eh, me aburro	tristeza	0
2018-Es-02284	Que cansancio vale.	tristeza	1
2018-Es-05443	¿Amor sin celos, sin berrinches, sin discusiones? Que aburrido.	tristeza	0
2018-Es-04541	Esta insolada valió la pena cada segundo.	tristeza	0
2018-Es-04337	A pesar de este revés en el Proyecto de Ley sobre Aborto, debemos unirnos para no darle la espalda a las mujeres y niñas de Chile	tristeza	0
2018-Es-01206	Últimamente me cuesta diferenciar los miembros de bts, confundo a Tae con JungKook y a Jin con Jimin QUE PUTO TRISTE QUE ME PASA HELP	tristeza	2
2018-Es-04548	Siento mucha pena por aquellas personas que sin completamente fans de LP... Se de primera mano lo que es que se muera la persona que admiras	tristeza	2
2018-Es-06349	Harry dijo que es genial y agradable ver que a los chicos les va bien en sus carreras en solitario 💕💕	tristeza	0
2018-Es-01137	mera dale estoy aburrido	tristeza	0
2018-Es-05018	@SarpY_icerde Pero #Baris va ser un gran personaje desde ahora #Sarp soempre preocupado de su padre #IcerdexMega #NocheDeTeatro 😁	tristeza	0
2018-Es-03333	Quien juega contigo y tu mente no es un ser astuto es un cobarde.	tristeza	1
2018-Es-04640	okay hablando en serio, es a las 5am..... tendré que poner mi alarma t_t	tristeza	0
2018-Es-05568	@SxrcasticBatman -Derek frunció el ceño al escucharle y no pudo evitar soltar una pequeña carcajada.- ¿Dónde? -Y entonces el moreno bajó >	tristeza	0
2018-Es-00988	En serio no puedo creerlo.. estoy en shock	tristeza	1
2018-Es-04169	No voy ni a llorar ya, porque para qué.	tristeza	3
2018-Es-01118	Acabó de encontrar un cover de 4O'CLOCK en español y es tan  hermoso, estoy llorando 😭😭	tristeza	0
2018-Es-04825	Qué rabia cuando hay una tercera persona en la relación.	tristeza	3
2018-Es-01901	Si es por mí puedes ir sin temor porque a mí ya no me importa nada	tristeza	1
2018-Es-03675	@KarlitaGarcia8 Jajajajaja tu me haces estresar con tu impuntualidad 😥	tristeza	0
2018-Es-06005	Anoche no me estalló la vena de la furia de milagro.	tristeza	1
2018-Es-05715	3:48 y yo sin poder dormir 	tristeza	2
2018-Es-02362	Me da un asco que se quiera hacer la hippie todo el tiempo, tremenda fantasma	tristeza	1
2018-Es-00749	mañana a las 6 arriba 😢	tristeza	0
2018-Es-00726	@macacifuentesC @sergmujica Perfect... Y de una mansa ni que terrible PLR	tristeza	0
2018-Es-01108	Una persona misteriosa (no vale dejar comentarios) me pidio fotos.. supuestamente para un video "sorpresa" ??? 	tristeza	0
2018-Es-05485	Ojalá se pudiera elegir a la familia de uno, lamentablemente te tenés q aguantar q gente hipócrita sea de tu sangre	tristeza	3
2018-Es-01674	Estoy muy triste pq me dijo que era bien enfadosa jajajaj	tristeza	1
2018-Es-03918	Iria a la casa de mis amigos pero NO PUEDO CAMINAR,ESTOY LLORANDO	tristeza	NONE
2018-Es-02004	Después no me quiero despertar en la mañana 🙁	tristeza	NONE
2018-Es-00925	Y al final, terminar cansado de tanto luchar.. 	tristeza	NONE
2018-Es-05799	@Juanmazza12 Un amigo es una luz brillando en la oscuridad🎵	tristeza	NONE
2018-Es-06937	Pq no eres mi novio ya??? 	tristeza	NONE
2018-Es-06495	Mi mamá me dice que esta preocupada porque estoy loca por Flandria, y si ma lo 100to es la hija que te toco 🐥💛	tristeza	NONE
2018-Es-05814	Se puede hablar de depresión nacional?	tristeza	NONE
2018-Es-01934	Estoy muy aburrido 😬😒😩	tristeza	NONE
2018-Es-06248	@NoticiasCaracol @JuanManSantos Claroooooo.😎con esa cantidad de infraestructura abandonada....que cosas? Esta peor que maburro.....🤔😥	tristeza	NONE
2018-Es-04980	@laulezz850 @AnibalPachanga5 Por quien lo decís? Pensé en Paula, pero de flaca y escuálida no tiene nada!! Será la aburrida de chechu😂😂	tristeza	NONE
2018-Es-06264	LOCRO CHABON. La comida mas desagradable del mundo y llena de muerte. Tengo una familia de mierda. Mejor ni vengan.	tristeza	NONE
2018-Es-05539	@pastorp93 Qué pasó pana??? Ojalá no sea nada grave	tristeza	NONE
2018-Es-03243	@traffiCARACAS es triste que estén arremetiendo con la gente inocente abusadores en casa tenemos familia e hijos que nos esperan a diario	tristeza	NONE
2018-Es-05843	Alguien que quiera hacer algo? (Hablando serio) 😃	tristeza	NONE
2018-Es-03583	Estoy a 1 chile de que termine la temporada de chile en nogada....a menos, yo creo que como a 5. 🇲🇽👊🏻 #Peña	tristeza	NONE
2018-Es-04847	Mis amigas me tienen abandonada	tristeza	NONE
2018-Es-01363	#MeGustaElNPYSoyHolkianov: when estas aburrido xDD	tristeza	NONE
2018-Es-04387	Que triste que tu mayor motivación sea el alcohol que consumas..	tristeza	NONE
2018-Es-02870	@Glorette_616 El me pelea, insulta. Yo lo bloqueo. Punto. Enojate con otro.	tristeza	NONE
2018-Es-02344	Que feo es dormir sin cucharear 	tristeza	NONE
2018-Es-02312	Por favaar, que dolor de cabeza. Y para colmo no me puedo dormir  🙁	tristeza	NONE
2018-Es-00965	La gente por no estar sola se arrima a cualquier cosa que ni siquiera soporta y se traga todas sus críticas 🤦🏼‍♀️ #real #pena	tristeza	NONE
2018-Es-00507	@DaiNu_ Decime quien fue así te fabrico un insulto piola para q le digas arre	tristeza	NONE
2018-Es-04052	@JosPastr @De_MiDios esta retirada del convento. Tendrá que acudir al lado oscuro de la fuerza	tristeza	NONE
2018-Es-02465	Repugnante ver a las hienas(tertulianos), morder, insultar y rabiar, por conseguir un trozo del cadáver de Miguel Ángel Blanco (homenaje)...	tristeza	NONE
2018-Es-03580	@Fertuits Es triste que piensen que no,  cuando es lindo y mejor hacerlo...	tristeza	NONE
2018-Es-01174	Indisciplina en la coalición nuevamente deja en incertidumbre eje del programa que se suponía unía el proyecto, lamentable espectáculo DC	tristeza	NONE
2018-Es-00073	Si fuera por mi seguiría viendo todos los capitulos, pero si sigo mirando no me levanta ni una grua. 😟	tristeza	NONE
2018-Es-03444	@Cxrlangas No es en Venezuela 🙁	tristeza	NONE
2018-Es-04189	Me carga que la familia aparezca solo cuando pasa algo grave 😒	tristeza	NONE
2018-Es-00705	@tctelevision Terrible!. Este joven deberia  dedicarse a otra cosa.	tristeza	NONE
2018-Es-04347	Creo que ahora si me chingue la rodilla corriendo 	tristeza	NONE
2018-Es-04587	@Ivansexxxoso Gracias.. eres de la clase de amigo que se extraña cuando se van... 🙁	tristeza	NONE
2018-Es-06361	@Phill_Butters @fzavalal  a leguas se ve q #GOB quiere #TAPAR algo grave cuando usa a #KENYI ,,,usa a #PROCURADORAS,,usa PRISION #HUMALAS	tristeza	NONE
2018-Es-01415	Jeje se nota que estoy aburrida , le respondo todas las preguntas a @FrChinx	tristeza	NONE
2018-Es-02781	Ya me está cansado😤	tristeza	NONE
2018-Es-00562	@QuePutana Rojo y lloroso	tristeza	NONE
2018-Es-00906	Y ahora se me para el metro 	tristeza	NONE
2018-Es-04597	@ItsMeliBa Es una lastima que dejen a Barranquilla por fuera nuevamente 	tristeza	NONE
2018-Es-03181	Tengo miedo de dormirme y que el boludo de Louis lanze de la nada el video de back to you no, yo en serio sin joder que me da algo y muero	tristeza	NONE
2018-Es-03460	Aunque ya no esté rubia. /Se tira al suelo a llorar.	tristeza	NONE
2018-Es-00222	Hay gente q critica el día del padre, de la madre, del amigo. Densos dejen de quejarse y aprovechen la excusa para ver a sus seres queridos	tristeza	NONE
2018-Es-05058	Por qué Tomás sigue a todas mis amigas? 	tristeza	NONE
2018-Es-06887	@Maluzc__ Ahora seguro tenga menos 	tristeza	NONE
2018-Es-03047	Quiero llorar mucho porque no se cuando vere el último capítulo de teen wolf 	tristeza	NONE
2018-Es-05754	@agustingtw_ Viste? Me dio una tristeza.	tristeza	NONE
2018-Es-03531	¿No han temido alguna vez que la persona que aman se enamore de alguien más y no vuelvan a saber más de ella? Es algo que te hace infeliz.	tristeza	NONE
2018-Es-04727	Mira wey te puede gustar una banda o un artista o no pero no tienes que ser fan de sangre para sentir tristeza y pena por su muerte.	tristeza	NONE
2018-Es-02331	La #klebsiella es una bacteria Gram (-), que según su especie pueden provocar infecciones urinaria, septicemia, rinitis atrofica.	tristeza	NONE
2018-Es-05486	A mi me da más tristeza zootopia la historia de nicolas porque POR SER DEPREDADOR, UN ZORRITO, NO LO QUERÍAN EN LOS NIÑOS EXPLORADORES :'(	tristeza	NONE
2018-Es-06229	Que cansancio tengo😥	tristeza	NONE
2018-Es-04724	El mejor slasher de películas de terror? #TalentoVenezolano #arte #SIGUEMEYTESIGO #SiguemeYTeSigoAlInstante #LunesDeGanarSeguidores 	tristeza	NONE
2018-Es-01430	Si con eso me pongo nervioso, no quiero imaginar el dia que suceda.	tristeza	NONE
2018-Es-05463	@Pucpto jajajajajaj me alegras la depresión	tristeza	NONE
2018-Es-01319	Odio estar tan enojada y que me de risa💆	tristeza	NONE
2018-Es-01903	Yo sí extraño nuestros Facetimes 😟	tristeza	NONE
2018-Es-04258	Me impresiona como mucha gente vive de las apariencias.. #triste	tristeza	NONE
2018-Es-02039	via @Alanbritoerhack:  SUSPENDIDO EL PARO DE NOCHE pq DA MIEDITO LO OSCURO #Margarita	tristeza	NONE
2018-Es-00160	Ese momento incómodo en el que tienes hambre y quieres engañar al cuerpo con una fruta,y pues no; el cuerpo puede ser gordo pero no pendejo	tristeza	NONE
2018-Es-02232	Encima se perdió la cachorrita que hermoso día del amigo loco	tristeza	NONE
2018-Es-06147	@BaezAlexis2 Cobarde pega jugadores	tristeza	NONE
2018-Es-03142	Me caga la gente negativa y pesimista en exceso!! Esta bien ser hate pero no se mamen!!!	tristeza	NONE
2018-Es-04675	Estoy más cansada en vacaciones que en el resto del año 😌	tristeza	NONE
2018-Es-06222	Como me duele la rodilla la puta madre 😟	tristeza	NONE
2018-Es-04351	@RominaIbarraL @arantzaosunal no fuimos 	tristeza	NONE
2018-Es-01311	Esta noche tengo un poema para todos ustedes.   Se llama cuerpo cansado!   Dormí .   Pronto! Era eso!	tristeza	NONE
2018-Es-01192	@Ivansexxxoso Exagerado... me cuesta encontrar amigos así y luego luego te quieres ir... 🙁	tristeza	NONE
2018-Es-06187	Borraron una de mis fics favs de wattpad la depresión es real	tristeza	NONE
2018-Es-00321	Como lo extrañe hoy 	tristeza	NONE
